framework,operation,n,threads,processes,run,time_s,checksum
OpenMP,matrix,3000,1,1,4,59.2476,6.75195e+09
OpenMP,matrix,3000,1,1,5,59.6008,6.75195e+09
OpenMP,matrix,3000,2,1,1,60.3558,6.75195e+09
OpenMP,matrix,3000,2,1,2,58.0573,6.75195e+09
OpenMP,matrix,3000,2,1,3,63.8945,6.75195e+09
OpenMP,matrix,3000,2,1,4,60.1705,6.75195e+09
OpenMP,matrix,3000,2,1,5,66.2926,6.75195e+09
OpenMP,matrix,3000,4,1,1,61.4456,6.75195e+09
OpenMP,matrix,3000,4,1,2,63.1438,6.75195e+09
OpenMP,matrix,3000,4,1,3,61.7604,6.75195e+09
OpenMP,matrix,3000,4,1,4,63.2769,6.75195e+09
OpenMP,matrix,3000,4,1,5,63.1992,6.75195e+09
OpenMP,matrix,3000,6,1,1,63.8515,6.75195e+09
OpenMP,matrix,3000,6,1,2,62.9144,6.75195e+09
OpenMP,matrix,3000,6,1,3,63.0206,6.75195e+09
OpenMP,matrix,3000,6,1,4,61.3948,6.75195e+09
OpenMP,matrix,3000,6,1,5,61.6795,6.75195e+09
OpenMP,matrix,4000,1,1,1,160.49,1.6004e+10
OpenMP,matrix,4000,1,1,2,160.613,1.6004e+10
OpenMP,matrix,4000,1,1,3,165.161,1.6004e+10
OpenMP,matrix,4000,1,1,4,158.528,1.6004e+10
OpenMP,matrix,4000,1,1,5,158.272,1.6004e+10
OpenMP,matrix,4000,2,1,1,165.775,1.6004e+10
OpenMP,matrix,4000,2,1,2,165.47,1.6004e+10
OpenMP,matrix,4000,2,1,3,158.974,1.6004e+10
OpenMP,matrix,4000,2,1,4,165.708,1.6004e+10
OpenMP,matrix,4000,2,1,5,163.268,1.6004e+10
OpenMP,matrix,4000,4,1,1,161.311,1.6004e+10
OpenMP,matrix,4000,4,1,2,164.999,1.6004e+10
OpenMP,matrix,4000,4,1,3,163.233,1.6004e+10
OpenMP,matrix,4000,4,1,4,162.106,1.6004e+10
OpenMP,matrix,4000,4,1,5,165.724,1.6004e+10
OpenMP,matrix,4000,6,1,1,165.586,1.6004e+10
OpenMP,matrix,4000,6,1,2,165.467,1.6004e+10
OpenMP,matrix,4000,6,1,3,161.759,1.6004e+10
OpenMP,matrix,4000,6,1,4,163.121,1.6004e+10
OpenMP,matrix,4000,6,1,5,164.435,1.6004e+10
